name,expLevel,trophies,role
eu sou o batman,14,6289,coLeader
Diozer,14,6242,leader
PM 1999,14,6153,member
Rick's,14,6100,member
ashi,13,5933,elder
Denilson,14,5919,member
Brayan,14,5907,elder
Trainer Ahrod,13,5899,elder
A.L.A.N,14,5875,member
Jr. Fênix,14,5872,coLeader
Dienio,14,5812,coLeader
andremergulho,14,5812,elder
DonThiago,13,5811,elder
Itachi,12,5796,elder
Galo,14,5785,elder
Antonio⚽,13,5777,elder
moonn996,13,5698,member
LordGeday,13,5690,elder
Careca Matador,14,5637,elder
crow,12,5636,elder
MisaelSena,12,5619,member
wiirrare,13,5600,member
Poppy,14,5556,elder
RIDER,12,5507,member
Sente O Grave,14,5493,member
⚽Antonio⚽,12,5490,elder
Jr. Fênix ll,13,5442,member
LL_AFPLAY,11,5403,elder
M Santos,11,5400,member
Sua Mãe,11,5368,member
suy,14,5353,member
DarkBattousai,12,5343,elder
PlayerUnknown,11,5328,member
Pedro,12,5315,member
Ararlo tfm,11,5270,member
vital.xp!,13,5268,member
paula,14,5260,member
Vicepan,13,5243,elder
JOIK,10,5234,member
<[¥]Tiago[¥]>,11,5220,member
Kid Fury,12,5198,member
Lucas BrGp,12,5188,member
Sarpey,11,5184,member
MANO CRISS,11,5157,member
SHAZAN CARAI,13,5082,member
vttrem33,10,5055,member
Darkin,11,5055,member
PuzzledJarl9868,11,5031,member
GustavoFolha7,10,5014,member
clash_games,11,5006,member
